,ACTUAL_AMT,ACTUAL_%REV,BUDGET_AMT,BUDGET_%REV,VARIANCE_AMT,VARIANCE_%REV
LS TOTALLandshark EXPENSE,"-19,197",-17.1,"115,103",99.4,"-134,300",-116.5
LS TOTAL Landshark PROFIT,"131,777",117.1,659,0.6,"131,118",116.5
JM BREAKFAST,"18,370",43.3,"19,721",37.3,"-1,352",6.0
JM LUNCH,"11,632",27.4,"17,045",32.2,"-5,413",-4.8
JM DINNER,"6,991",16.5,"10,111",19.1,"-3,120",-2.6
JM TOTALJoe Merchant  FOOD,"36,993",87.1,"46,877",88.6,"-9,885",-1.5
JM BEER,"1,253",3.0,"1,765",3.3,-512,-0.4
JM WINE,"2,948",6.9,"1,198",2.3,"1,750",4.7
JM TOTAL Joe Merchant  BEVERAGE,"4,201",9.9,"2,963",5.6,"1,238",4.3
JM ALLOWANCES,-224,-0.5,0,0.0,-224,-0.5
JM OTHER,"1,497",3.5,"3,070",5.8,"-1,574",-2.3
JM TOTAL Joe Merchant OTHER,"1,273",3.0,"3,070",5.8,"-1,798",-2.8
JM TOTAL Joe Merchant REVENUE,"42,466",100.0,"52,911",100.0,"-10,445",0.0
JM FOOD,0,0.0,"14,063",30.0,"-14,063",-30.0
JM BEER,0,0.0,441,25.0,-441,-25.0
JM OTHER,0,0.0,"1,382",2.6,"-1,382",-2.6
JM TOTAL VENUE 3 COST OF SALES,0,0.0,"15,886",30.0,"-15,886",-30.0
JM TOTAL VENUE 3 GROSS PROFIT,"42,466",100.0,"37,025",70.0,"5,442",30.0
JM MANAGER,"-1,571",-3.7,0,0.0,"-1,571",-3.7
JM TOTAL VENUE 3 SERVICE MANAGEMENT,"-1,571",-3.7,0,0.0,"-1,571",-3.7
JM TOTAL VENUE 3 MANAGEMENT,"-1,571",-3.7,0,0.0,"-1,571",-3.7
JM COOKS,"-2,011",-4.7,"10,899",20.6,"-12,910",-25.3
JM STEWARDS,0,0.0,0,0.0,0,0.0
JM TOTAL VENUE 3 KITCHEN NON-MANAGEMENT,"-2,011",-4.7,"10,899",20.6,"-12,910",-25.3
JM CASHIERS,"-4,980",-11.7,"9,961",18.8,"-14,941",-30.6
JM SUPERVISOR,"-1,078",-2.5,"2,432",4.6,"-3,510",-7.1
JM TOTAL VENUE 3 SERVICE NON-MANAGEMENT,"-6,058",-14.3,"12,393",23.4,"-18,451",-37.7
JM TOTAL VENUE 3 NON-MANAGEMENT,"-8,068",-19.0,"23,292",44.0,"-31,361",-63.0
JM SUBTOTAL: VENUE 3 SALARIES & WAGES,"-9,640",-22.7,"23,292",44.0,"-32,932",-66.7
JM CONTRACTED/LEASED & OUTSOURCED LABOR,0,0.0,"2,011",3.8,"-2,011",-3.8
JM TOTAL VENUE 3 CONTRACT LABOR,0,0.0,"2,011",3.8,"-2,011",-3.8
"JM TOTAL VENUE 3 SALARIES, WAGES, SC, CONTRACT & BONUS","-9,640",-22.7,"25,304",47.8,"-34,943",-70.5
JM PAYROLL TAXES,0,0.0,"1,898",3.6,"-1,898",-3.6
JM TOTAL VENUE 3 TAXES,0,0.0,"1,898",3.6,"-1,898",-3.6
JM SUPPLEMENTAL PAY,0,0.0,78,0.0,-78,0.0
JM PTO PAY,"-3,056",-7.2,344,0.7,"-3,400",-7.8
JM TOTAL VENUE 3 SUPPLEMENTAL PAY,"-3,056",-7.2,423,0.8,"-3,478",-8.0
JM WORKERS COMP,352,0.8,301,0.6,51,0.3
JM HEALTH INSURANCE,0,0.0,500,0.9,-500,-0.9
JM EMPLOYEE MEALS,0,0.0,439,0.8,-439,-0.8
JM EMPLOYEE BENEFITS,0,0.0,4,0.0,-4,0.0
JM TOTAL VENUE 3 BENEFITS,352,0.8,"1,244",2.4,-892,-1.5
JM TOTAL VENUE 3 PAYROLL RELATED,"-2,704",-6.4,"3,564",6.7,"-6,268",-13.1
JM TOTAL VENUE 3 LABOR & RELATED,"-12,343",-29.1,"28,868",54.6,"-41,211",-83.6
JM TOTAL Joe Merchant  EXPENSE,"-12,343",-29.1,"44,754",84.6,"-57,097",-113.7
JM TOTAL Joe Merchant  PROFIT,"54,810",129.1,"8,157",15.4,"46,653",113.7
LP MANAGER,0,0.0,"3,654",0.0,"-3,654",0.0
LP TOTAL VENUE 4 SERVICE MANAGEMENT,0,0.0,"3,654",0.0,"-3,654",0.0
LP TOTAL VENUE 4 MANAGEMENT,0,0.0,"3,654",0.0,"-3,654",0.0
LP SERVERS,122,0.0,0,0.0,122,0.0
LP BARTENDERS,82,0.0,0,0.0,82,0.0
LP BARBACKS,0,0.0,0,0.0,0,0.0
LP TOTAL VENUE 4 VENUE NON-MANAGEMENT,204,0.0,0,0.0,204,0.0
LP TOTAL VENUE 4 NON-MANAGEMENT,204,0.0,0,0.0,204,0.0
LP SUBTOTAL: VENUE 4 SALARIES & WAGES,204,0.0,"3,654",0.0,"-3,451",0.0
"LP TOTAL VENUE 4 SALARIES, WAGES, SC, CONTRACT & BONUS",204,0.0,"3,654",0.0,"-3,451",0.0
LP PAYROLL TAXES,0,0.0,274,0.0,-274,0.0
LP TOTAL VENUE 4 TAXES,0,0.0,274,0.0,-274,0.0
LP SUPPLEMENTAL PAY,0,0.0,0,0.0,0,0.0
LP PTO PAY,"-3,673",0.0,536,0.0,"-4,209",0.0
LP TOTAL VENUE 4 SUPPLEMENTAL PAY,"-3,673",0.0,536,0.0,"-4,209",0.0
LP WORKERS COMP,529,0.0,438,0.0,91,0.0
LP HEALTH INSURANCE,0,0.0,202,0.0,-202,0.0
LP EMPLOYEE MEALS,0,0.0,90,0.0,-90,0.0
LP EMPLOYEE BENEFITS,0,0.0,1,0.0,-1,0.0
LP TOTAL VENUE 4 TAXES,529,0.0,730,0.0,-201,0.0
LP TOTAL VENUE 4 PAYROLL RELATED,"-3,144",0.0,"1,540",0.0,"-4,684",0.0
LP TOTAL VENUE 4 LABOR & RELATED,"-2,941",0.0,"5,194",0.0,"-8,135",0.0
LP TOTAL Lone Palm EXPENSE,"-2,941",0.0,"5,194",0.0,"-8,135",0.0
LP TOTAL Lone Palm PROFIT,"2,941",0.0,"-5,194",0.0,"8,135",0.0
5O SUPPLEMENTAL PAY,0,0.0,0,0.0,0,0.0
5O PTO PAY,-436,0.0,0,0.0,-436,0.0
5O TOTAL VENUE 5 SUPPLEMENTAL PAY,-436,0.0,0,0.0,-436,0.0
5O WORKERS COMP,332,0.0,0,0.0,332,0.0
5O HEALTH INSURANCE,0,0.0,0,0.0,0,0.0
5O TOTAL VENUE 5 BENEFITS,332,0.0,0,0.0,332,0.0
5O TOTAL VENUE 5 PAYROLL RELATED,-104,0.0,0,0.0,-104,0.0
5O TOTAL VENUE 5 LABOR & RELATED,-104,0.0,0,0.0,-104,0.0
5O TOTAL 5 O’Clock EXPENSE,-104,0.0,0,0.0,-104,0.0
5O TOTAL 5 O’Clock PROFIT,104,0.0,0,0.0,104,0.0
PARC BREAKFAST,914,10.2,507,6.6,407,3.6
PARC LUNCH,"1,911",21.4,"1,347",17.6,564,3.8
PARC DINNER,63,0.7,0,0.0,63,0.7
PARC TOTAL Playin a Round Café  FOOD,"2,888",32.3,"1,854",24.2,"1,033",8.1
PARC LIQUOR,"2,446",27.3,"1,744",22.7,702,4.6
PARC BEER,"3,342",37.4,"3,487",45.5,-145,-8.1
PARC WINE,34,0.4,581,7.6,-547,-7.2
PARC TOTAL Playin a Round Café  BEVERAGE,"5,822",65.1,"5,812",75.8,9,-10.7
PARC OTHER,238,2.7,0,0.0,238,2.7
PARC TOTAL Playin a Round Cafe OTHER,238,2.7,0,0.0,238,2.7
PARC TOTAL Playin a Round Café REVENUE,"8,947",100.0,"7,667",100.0,"1,280",0.0
PARC FOOD,0,0.0,556,30.0,-556,-30.0
PARC LIQUOR,0,0.0,305,17.5,-305,-17.5
PARC BEER,0,0.0,663,19.0,-663,-19.0
PARC WINE,0,0.0,145,25.0,-145,-25.0
PARC TOTAL VENUE 6 COST OF SALES,0,0.0,"1,669",21.8,"-1,669",-21.8
PARC TOTAL VENUE 6 GROSS PROFIT,"8,947",100.0,"5,997",78.2,"2,950",21.8
PARC COOKS,-122,-1.4,575,7.5,-697,-8.9
PARC TOTAL VENUE 6 KITCHEN NON-MANAGEMEN,-122,-1.4,575,7.5,-697,-8.9
PARC BARTENDERS,-483,-5.4,994,13.0,"-1,477",-18.4
PARC TOTAL VENUE 6 VENUE NON-MANAGEMENT,-483,-5.4,994,13.0,"-1,477",-18.4
PARC TOTAL VENUE 6 NON-MANAGEMENT,-605,-6.8,"1,569",20.5,"-2,174",-27.2
PARC SUBTOTAL: VENUE 6 SALARIES & WAGES,-605,-6.8,"1,569",20.5,"-2,174",-27.2
"PARC TOTAL VENUE 6   SALARIES, WAGES, SC, CONTRACT & BONUS",-605,-6.8,"1,569",20.5,"-2,174",-27.2
PARC PAYROLL TAXES,0,0.0,118,1.5,-118,-1.5
PARC TOTAL VENUE 6 TAXES,0,0.0,118,1.5,-118,-1.5
PARC WORKERS COMP,60,0.7,39,0.5,21,0.2
PARC HEALTH INSURANCE,0,0.0,125,1.6,-125,-1.6
PARC 401K,0,0.0,0,0.0,0,0.0
PARC EMPLOYEE MEALS,0,0.0,37,0.5,-37,-0.5
PARC EMPLOYEE BENEFITS,0,0.0,0,0.0,0,0.0
PARC TOTAL VENUE 6 BENEFITS,60,0.7,201,2.6,-141,-1.9
PARC TOTAL VENUE 6 PAYROLL RELATED,60,0.7,319,4.2,-258,-3.5
PARC TOTAL VENUE 6 LABOR & RELATED,-544,-6.1,"1,888",24.6,"-2,432",-30.7
PARC TOTAL Playin a Round Café  EXPENSE,-544,-6.1,"3,557",46.4,"-4,101",-52.5
PARC TOTAL Playin a Round Café  PROFIT,"9,492",106.1,"4,110",53.6,"5,382",52.5
BOATHOUSE LUNCH,4,0.0,0,0.0,4,0.0
BOATHOUSE DINNER,781,3.1,"12,851",20.2,"-12,069",-17.1
BOATHOUSE TOTAL BoathouseFOOD,785,3.1,"12,851",20.2,"-12,065",-17.1
BOATHOUSE LIQUOR,"15,989",63.3,"34,825",54.7,"-18,836",8.6
BOATHOUSE BEER,"6,738",26.7,"11,608",18.2,"-4,871",8.4
BOATHOUSE WINE,"1,495",5.9,"2,322",3.6,-827,2.3
BOATHOUSE TOTAL Boathouse BEVERAGE,"24,221",95.9,"48,755",76.6,"-24,534",19.3
BOATHOUSE ALLOWANCES,-50,-0.2,0,0.0,-50,-0.2
BOATHOUSE OTHER,300,1.2,"2,024",3.2,"-1,724",-2.0
BOATHOUSE TOTAL Boathouse OTHER,251,1.0,"2,024",3.2,"-1,774",-2.2
BOATHOUSE TOTAL Boathouse REVENUE,"25,257",100.0,"63,630",100.0,"-38,372",0.0
BOATHOUSE FOOD,0,0.0,"4,112",32.0,"-4,112",-32.0
BOATHOUSE EMPLOYEE MEALS,0,0.0,184,1.4,-184,-1.4
BOATHOUSE LIQUOR,0,0.0,"5,224",15.0,"-5,224",-15.0
BOATHOUSE BEER,0,0.0,"2,206",19.0,"-2,206",-19.0
BOATHOUSE WINE,0,0.0,581,25.0,-581,-25.0
BOATHOUSE TOTAL Boathouse COST OF SALES,0,0.0,"12,306",19.3,"-12,306",-19.3
BOATHOUSE TOTAL Boathouse GROSS PROFIT,"25,257",100.0,"51,324",80.7,"-26,067",19.3
