Description,ACTUAL_AMT,ACTUAL_%REV,FC_AMT,FC_%REV,FC_VARIANCE_AMT,FC_VARIANCE%REV,LY_AMT,LY_%REV,LY_VARIANCE_AMT,LY_VARIANCE_%REV
House Laundry,230.00,0.00,0.00,0.00,230.00,0.00,0.00,0.00,230.00,0.00
Utilities,110141.00,8.60,107000.00,8.70,3141.00,-0.10,95899.00,7.40,14242.00,1.20
Total Undistributed Expenses,745815.00,58.50,820468.00,66.90,-74652.00,-8.40,775528.00,60.10,-29712.00,-1.60
,,,,,,,,,,
Gross Operating Profit,-274734.00,-21.50,-438680.00,-35.80,163946.00,14.20,-323994.00,-25.10,49260.00,3.60
,,,,,,,,,,
Management Fees,,,,,,,,,,
Base Management Fees,27337.00,2.10,27584.00,2.20,-247.00,-0.10,35497.00,2.80,-8160.00,-0.60
Base Management Fees 2,-4167.00,-0.30,-4167.00,-0.30,0.00,0.00,-4167.00,-0.30,0.00,0.00
Total Management Fees,23170.00,1.80,23417.00,1.90,-247.00,-0.10,31330.00,2.40,-8160.00,-0.60
,,,,,,,,,,
Income before Non-Operating Income & Expenses,-297904.00,-23.40,-462097.00,-37.70,164193.00,14.30,-355324.00,-27.50,57420.00,4.20
,,,,,,,,,,
Non-Operating Income & Expenses,,,,,,,,,,
Income,-25623.00,-2.00,-19061.00,-1.60,-6562.00,-0.50,-21821.00,-1.70,-3802.00,-0.30
Rent,4950.00,0.40,4950.00,0.40,0.00,0.00,5014.00,0.40,-64.00,0.00
Property and Other Taxes,161198.00,12.60,150630.00,12.30,10568.00,0.40,119664.00,9.30,41534.00,3.40
Insurance,27806.00,2.20,34173.00,2.80,-6367.00,-0.60,18461.00,1.40,9345.00,0.70
Other Expenses,41273.00,3.20,34094.00,2.80,7178.00,0.50,26539.00,2.10,14734.00,1.20
Total Non-Operating Income & Expenses,209604.00,16.40,204787.00,16.70,4817.00,-0.30,147858.00,11.50,61746.00,5.00
,,,,,,,,,,
"Earnings Before Interest, Taxes, Depreciation, and Amortization",-507508.00,-39.80,-666884.00,-54.40,159376.00,14.60,-503182.00,-39.00,-4326.00,-0.80
Replacement Reserve,48599.00,3.80,49038.00,4.00,-439.00,-0.20,25818.00,2.00,22781.00,1.80
EBITDA Less Reserve,-556107.00,-43.60,-715922.00,-58.40,159815.00,14.80,-529000.00,-41.00,-27107.00,-2.60
,,,,,,,,,,
"Interest, Depreciation and Amortization",,,,,,,,,,
Interest Expense,594113.00,46.60,504064.00,41.10,90049.00,5.50,408337.00,31.70,185776.00,14.90
Depreciation,314069.00,24.60,350620.00,28.60,-36551.00,-4.00,322364.00,25.00,-8295.00,-0.40
Amortization,50538.00,4.00,50538.00,4.10,0.00,-0.20,2055.00,0.20,48483.00,3.80
Partnership Expense,34111.00,2.70,17531.00,1.40,16580.00,1.20,4546.00,0.40,29564.00,2.30
"Total Interest, Depreciation, and Amortization",992830.00,77.90,922753.00,75.30,70077.00,2.60,737302.00,57.20,255528.00,20.70
,,,,,,,,,,
Add: Replacement Reserve,48599.00,3.80,49038.00,4.00,-439.00,-0.20,25818.00,2.00,22781.00,1.80
,,,,,,,,,,
,,,,,,,,,,
TRANSIENT,,,,,,,,,,
ROOM NIGHTS,,,,,,,,,,
TRANSIENT-GOVERNMENT,5.00,0.30,0.00,0.00,5.00,0.30,0.00,0.00,5.00,0.30
TRANSIENT-PACKAGE,19.00,2.40,14.00,1.70,5.00,0.70,30.00,4.50,-11.00,-2.10
TRANSIENT-DISCOUNT,359.00,42.80,409.00,37.10,-50.00,5.70,372.00,43.20,-13.00,-0.50
TRANSIENT-FREQUENT GUEST/ PREFERRED,204.00,23.30,199.00,21.60,5.00,1.70,201.00,25.60,3.00,-2.30
TRANSIENT-COMMERCIAL RETAIL,93.00,12.00,161.00,18.00,-68.00,-6.10,50.00,6.60,43.00,5.40
TRANSIENT-SPECIAL,10.00,0.70,0.00,0.00,10.00,0.70,17.00,1.10,-7.00,-0.40
TRANSIENT-INET NON-OPAQUE (E-CHNL RETAIL),174.00,18.50,203.00,21.50,-29.00,-3.00,175.00,18.90,-1.00,-0.40
TOTAL TRANSIENT ROOM NIGHTS,864.00,45.90,986.00,49.70,-122.00,-3.70,845.00,40.90,19.00,5.10
,,,,,,,,,,
AVERAGE DAILY RATE,,,,,,,,,,
TRANSIENT-GOVERNMENT,127.40,0.30,0.00,0.00,127.40,0.30,0.00,0.00,127.40,0.30
TRANSIENT-PACKAGE,266.14,2.40,291.96,1.70,-25.81,0.70,298.16,4.50,-32.02,-2.10
TRANSIENT-DISCOUNT,246.63,42.80,214.65,37.10,31.98,5.70,230.23,43.20,16.40,-0.50
TRANSIENT-FREQUENT GUEST/ PREFERRED,236.47,23.30,257.92,21.60,-21.44,1.70,252.53,25.60,-16.06,-2.30
TRANSIENT-COMMERCIAL RETAIL,266.63,12.00,265.40,18.00,1.22,-6.10,259.98,6.60,6.65,5.40
TRANSIENT-SPECIAL,150.18,0.70,0.00,0.00,150.18,0.70,130.86,1.10,19.32,-0.40
TRANSIENT-INET NON-OPAQUE (E-CHNL RETAIL),220.07,18.50,250.20,21.50,-30.13,-3.00,214.23,18.90,5.85,-0.40
TOTAL TRANSIENT ADR,239.66,45.90,240.09,49.70,-0.43,-3.70,234.39,40.90,5.27,5.10
,,,,,,,,,,
REVENUE,,,,,,,,,,
TRANSIENT-GOVERNMENT,637.00,0.30,0.00,0.00,637.00,0.30,0.00,0.00,637.00,0.30
TRANSIENT-PACKAGE,5057.00,2.40,4140.00,1.70,916.00,0.70,8945.00,4.50,-3888.00,-2.10
TRANSIENT-DISCOUNT,88539.00,42.80,87771.00,37.10,768.00,5.70,85644.00,43.20,2895.00,-0.50
TRANSIENT-FREQUENT GUEST/ PREFERRED,48240.00,23.30,51208.00,21.60,-2967.00,1.70,50759.00,25.60,-2518.00,-2.30
TRANSIENT-COMMERCIAL RETAIL,24796.00,12.00,42658.00,18.00,-17861.00,-6.10,12999.00,6.60,11798.00,5.40
TRANSIENT-SPECIAL,1502.00,0.70,0.00,0.00,1502.00,0.70,2225.00,1.10,-723.00,-0.40
TRANSIENT-INET NON-OPAQUE (E-CHNL RETAIL),38293.00,18.50,50860.00,21.50,-12567.00,-3.00,37489.00,18.90,803.00,-0.40
TOTAL TRANSIENT REVENUE,207064.00,45.90,236637.00,49.70,-29573.00,-3.70,198060.00,40.90,9004.00,5.10
,,,,,,,,,,
GROUP,,,,,,,,,,
ROOM NIGHTS,,,,,,,,,,
GROUP-EP,566.00,48.00,657.00,53.00,-91.00,-5.00,962.00,64.60,-396.00,-16.50
GROUP-GOVERNMENT,1.00,0.10,0.00,0.00,1.00,0.10,0.00,0.00,1.00,0.10
GROUP-ASSOCIATION/CONVENTION,59.00,3.70,77.00,3.00,-18.00,0.70,1.00,0.10,58.00,3.60
GROUP-CORPORATE,600.00,38.90,640.00,42.60,-40.00,-3.70,507.00,35.20,93.00,3.70
GROUP-SMERF,166.00,9.30,26.00,1.30,140.00,7.90,31.00,0.20,135.00,9.10
TOTAL GROUP ROOM NIGHTS,1392.00,54.10,1400.00,49.70,-8.00,4.40,1501.00,58.50,-109.00,-4.40
,,,,,,,,,,
AVERAGE DAILY RATE,,,,,,,,,,
GROUP-EP,206.77,48.00,190.96,53.00,15.81,-5.00,190.21,64.60,16.57,-16.50
GROUP-GOVERNMENT,149.00,0.10,0.00,0.00,149.00,0.10,0.00,0.00,149.00,0.10
GROUP-ASSOCIATION/CONVENTION,152.90,3.70,92.88,3.00,60.02,0.70,169.00,0.10,-16.10,3.60
GROUP-CORPORATE,158.07,38.90,157.58,42.60,0.50,-3.70,196.72,35.20,-38.64,3.70
GROUP-SMERF,136.18,9.30,122.00,1.30,14.18,7.90,16.65,0.20,119.54,9.10
TOTAL GROUP ADR,175.04,54.10,169.02,49.70,6.02,4.40,188.81,58.50,-13.77,-4.40
,,,,,,,,,,
REVENUE,,,,,,,,,,
GROUP-EP,117034.00,48.00,125461.00,53.00,-8427.00,-5.00,182979.00,64.60,-65944.00,-16.50
GROUP-GOVERNMENT,149.00,0.10,0.00,0.00,149.00,0.10,0.00,0.00,149.00,0.10
GROUP-ASSOCIATION/CONVENTION,9021.00,3.70,7152.00,3.00,1869.00,0.70,169.00,0.10,8852.00,3.60
GROUP-CORPORATE,94844.00,38.90,100849.00,42.60,-6005.00,-3.70,99736.00,35.20,-4892.00,3.70
GROUP-SMERF,22606.00,9.30,3172.00,1.30,19434.00,7.90,516.00,0.20,22090.00,9.10
TOTAL GROUP REVENUE,243655.00,54.10,236634.00,49.70,7021.00,4.40,283400.00,58.50,-39745.00,-4.40
,,,,,,,,,,
CONTRACT,,,,,,,,,,
ROOM NIGHTS,,,,,,,,,,
,,,,,,,,,,
AVERAGE DAILY RATE,,,,,,,,,,
,,,,,,,,,,
REVENUE,,,,,,,,,,
,,,,,,,,,,
TOTAL HOTEL PAID ROOMS,2256.00,35.20,2386.00,38.50,-130.00,-3.30,2346.00,37.30,-90.00,-2.00
,,,,,,,,,,
COMP ROOM NIGHTS,,,,,,,,,,
COMPLIMENTARY ROOM - 105,82.00,0.00,0.00,0.00,82.00,0.00,50.00,0.00,32.00,0.00
HOUSE USE,37.00,0.00,0.00,0.00,37.00,0.00,57.00,0.00,-20.00,0.00
TOTAL COMP ROOMS,119.00,0.00,0.00,0.00,119.00,0.00,107.00,0.00,12.00,0.00
,,,,,,,,,,
TOTAL OCCUPIED ROOMS,2375.00,100.00,2386.00,99.30,-11.00,0.70,2453.00,99.30,-78.00,0.70
TOTAL ROOM ADR,199.79,100.00,199.75,100.00,0.05,0.00,206.61,100.00,-6.82,0.00
TOTAL ROOM REVENUE,450731.00,35.40,476519.00,38.90,-25789.00,-3.50,484709.00,37.60,-33978.00,-2.20
TRANSIENT-COMMERCIAL RETAIL,24796.00,12.00,42658.00,18.00,-17861.00,-6.10,12999.00,6.60,11798.00,5.40
TRANSIENT-INET NON-OPAQUE (E-CHNL RETAIL),38293.00,18.50,50860.00,21.50,-12567.00,-3.00,37489.00,18.90,803.00,-0.40
TOTAL TRANSIENT - RETAIL,63089.00,14.00,93518.00,19.60,-30429.00,-5.60,50488.00,10.40,12601.00,3.60
TRANSIENT-PACKAGE,5057.00,2.40,4140.00,1.70,916.00,0.70,8945.00,4.50,-3888.00,-2.10
TRANSIENT-DISCOUNT,88539.00,42.80,87771.00,37.10,768.00,5.70,85644.00,43.20,2895.00,-0.50
TRANSIENT-FREQUENT GUEST/ PREFERRED,48240.00,23.30,51208.00,21.60,-2967.00,1.70,50759.00,25.60,-2518.00,-2.30
TRANSIENT-SPECIAL,1502.00,0.70,0.00,0.00,1502.00,0.70,2225.00,1.10,-723.00,-0.40
TRANSIENT-GOVERNMENT,637.00,0.30,0.00,0.00,637.00,0.30,0.00,0.00,637.00,0.30
TOTAL TRANSIENT ROOMS REVENUE,207064.00,45.90,236637.00,49.70,-29573.00,-3.70,198060.00,40.90,9004.00,5.10
GROUP-CORPORATE,94844.00,38.90,100849.00,42.60,-6005.00,-3.70,99736.00,35.20,-4892.00,3.70
TOTAL GROUP - CORPORATE,94844.00,21.00,100849.00,21.20,-6005.00,-0.10,99736.00,20.60,-4892.00,0.50
GROUP-ASSOCIATION/CONVENTION,9021.00,3.70,7152.00,3.00,1869.00,0.70,169.00,0.10,8852.00,3.60
TOTAL GROUP - ASSOCIATION/CONVENTION,9021.00,2.00,7152.00,1.50,1869.00,0.50,169.00,0.00,8852.00,2.00
GROUP-EP,117034.00,48.00,125461.00,53.00,-8427.00,-5.00,182979.00,64.60,-65944.00,-16.50
TOTAL GROUP - EP,117034.00,26.00,125461.00,26.30,-8427.00,-0.40,182979.00,37.80,-65944.00,-11.80
GROUP-GOVERNMENT,149.00,0.10,0.00,0.00,149.00,0.10,0.00,0.00,149.00,0.10
TOTAL GROUP - GOVERNMENT,149.00,0.00,0.00,0.00,149.00,0.00,0.00,0.00,149.00,0.00
GROUP-SMERF,22606.00,9.30,3172.00,1.30,19434.00,7.90,516.00,0.20,22090.00,9.10
TOTAL GROUP - SMERF,22606.00,5.00,3172.00,0.70,19434.00,4.30,516.00,0.10,22090.00,4.90
TOTAL GROUP ROOMS REVENUE,243655.00,54.10,236634.00,49.70,7021.00,4.40,283400.00,58.50,-39745.00,-4.40
NO-SHOW REVENUE,1368.00,71.30,3929.00,98.70,-2561.00,-27.40,3929.00,98.70,-2561.00,-27.40
OTHER ROOM REVENUE,250.00,13.00,0.00,0.00,250.00,13.00,0.00,0.00,250.00,13.00
EARLY/LATE FEES,300.00,15.60,50.00,1.30,250.00,14.40,50.00,1.30,250.00,14.40
ALLOWANCE,-1906.00,-99.40,-730.00,-18.30,-1176.00,-81.00,-730.00,-18.30,-1176.00,-81.00
LESS: ALLOWANCES,-1906.00,-0.40,-730.00,-0.20,-1176.00,-0.30,-730.00,-0.20,-1176.00,-0.30
SUBTOTAL ROOMS REVENUE,450731.00,100.00,476519.00,100.00,-25789.00,0.00,484709.00,100.00,-33978.00,0.00
TOTAL ROOMS REVENUE,450731.00,35.40,476519.00,38.90,-25789.00,-3.50,484709.00,37.60,-33978.00,-2.20
DIRECTOR OF ROOMS,11326.00,2.50,10080.00,2.10,1246.00,0.40,12145.00,2.50,-819.00,0.00
FRONT OFFICE MANAGER,7592.00,1.70,6422.00,1.30,1170.00,0.30,264.00,0.10,7329.00,1.60
ASSISTANT FRONT OFFICE MANAGER,3293.00,0.70,5471.00,1.10,-2178.00,-0.40,3659.00,0.80,-367.00,0.00
RESERVATIONS MANAGER,0.00,0.00,0.00,0.00,0.00,0.00,2139.00,0.40,-2139.00,-0.40
EXECUTIVE HOUSEKEEPER,5825.00,1.30,4927.00,1.00,898.00,0.30,5936.00,1.20,-111.00,0.10
HOUSEKEEPING MANAGER,8367.00,1.90,7079.00,1.50,1288.00,0.40,0.00,0.00,8367.00,1.90
TOTAL ROOMS MANAGEMENT,36403.00,8.10,33978.00,7.10,2425.00,0.90,24144.00,5.00,12259.00,3.10
FRONT DESK SUPERVISOR,5645.00,1.30,5717.00,1.20,-72.00,0.10,0.00,0.00,5645.00,1.30
FRONT DESK AGENT,6529.00,1.40,5468.00,1.10,1062.00,0.30,10065.00,2.10,-3535.00,-0.60
NIGHT AUDIT,4881.00,1.10,8233.00,1.70,-3352.00,-0.60,4393.00,0.90,488.00,0.20
TOTAL FRONT OFFICE LABOR,17055.00,3.80,19417.00,4.10,-2362.00,-0.30,14458.00,3.00,2597.00,0.80
HOUSEKEEPING SUPERVISOR,5613.00,1.20,8742.00,1.80,-3129.00,-0.60,10684.00,2.20,-5071.00,-1.00
ROOM ATTENDANT,12687.00,2.80,17267.00,3.60,-4580.00,-0.80,17307.00,3.60,-4620.00,-0.80
LOBBY/PUBLIC SPACE ATTENDANT,2682.00,0.60,5310.00,1.10,-2628.00,-0.50,3273.00,0.70,-591.00,-0.10
HOUSEKEEPING CLERK,0.00,0.00,2909.00,0.60,-2909.00,-0.60,2553.00,0.50,-2553.00,-0.50
HOUSE ATTENDANT,984.00,0.20,3317.00,0.70,-2333.00,-0.50,2267.00,0.50,-1283.00,-0.20
RESERVATIONS AGENT,7538.00,1.70,7360.00,1.50,178.00,0.10,5411.00,1.10,2127.00,0.60
GROUP ROOMS COORDINATOR,2827.00,0.60,2690.00,0.60,137.00,0.10,0.00,0.00,2827.00,0.60
TOTAL RESERVATIONS LABOR,10365.00,2.30,10050.00,2.10,315.00,0.20,5411.00,1.10,4954.00,1.20
TOTAL ROOMS NON-MANAGEMENT,49387.00,11.00,67013.00,14.10,-17626.00,-3.10,55954.00,11.50,-6567.00,-0.60
SUBTOTAL: SALARIES & WAGES,85790.00,19.00,100991.00,21.20,-15202.00,-2.20,80098.00,16.50,5692.00,2.50
INCENTIVE COMPENSATION - ROOMS,2545.00,0.60,1923.00,0.40,622.00,0.20,1867.00,0.40,678.00,0.20
TOTAL BONUS & INCENTIVES,2545.00,0.60,1923.00,0.40,622.00,0.20,1867.00,0.40,678.00,0.20
CONTRACT LABOR,29160.00,6.50,25739.00,5.40,3421.00,1.10,28865.00,6.00,295.00,0.50
TOTAL CONTRACT LABOR,29160.00,6.50,25739.00,5.40,3421.00,1.10,28865.00,6.00,295.00,0.50
"TOTAL SALARIES, WAGES, SC, CONTRACT & BONUS",117495.00,26.10,128654.00,27.00,-11158.00,-0.90,110830.00,22.90,6665.00,3.20
PAYROLL TAXES,7397.00,1.60,7494.00,1.60,-96.00,0.10,6449.00,1.30,949.00,0.30
TOTAL PAYROLL TAXES,7397.00,1.60,7494.00,1.60,-96.00,0.10,6449.00,1.30,949.00,0.30
SUPPLEMENTAL PAY,6242.00,1.40,5625.00,1.20,617.00,0.20,6064.00,1.30,178.00,0.10
PTO EXPENSE - ROOMS,15759.00,3.50,4252.00,0.90,11508.00,2.60,11226.00,2.30,4533.00,1.20
TOTAL SUPPLEMENTAL PAY,22002.00,4.90,9877.00,2.10,12125.00,2.80,17290.00,3.60,4712.00,1.30
HEALTH INSURANCE - ROOMS,-7407.00,-1.60,16007.00,3.40,-23414.00,-5.00,21875.00,4.50,-29282.00,-6.20
401K,377.00,0.10,353.00,0.10,23.00,0.00,273.00,0.10,104.00,0.00
EMPLOYEE MEALS,1424.00,0.30,1683.00,0.40,-259.00,0.00,78.00,0.00,1346.00,0.30
EMPLOYEE BENEFITS,72.00,0.00,40.00,0.00,31.00,0.00,53.00,0.00,19.00,0.00
WORKERS COMP,2059.00,0.50,1404.00,0.30,655.00,0.20,1919.00,0.40,140.00,0.10
TOTAL BENEFITS,-3476.00,-0.80,19487.00,4.10,-22963.00,-4.90,24197.00,5.00,-27674.00,-5.80
TOTAL LABOR & RELATED,143418.00,31.80,165511.00,34.70,-22093.00,-2.90,158766.00,32.80,-15348.00,-0.90
COMP FOOD & BEVERAGE,0.00,0.00,1409.00,0.30,-1409.00,-0.30,0.00,0.00,0.00,0.00
CLEANING SUPPLIES,4005.00,0.90,2958.00,0.60,1047.00,0.30,482.00,0.10,3523.00,0.80
COMMISSIONS PAID,5580.00,1.20,4662.00,1.00,918.00,0.30,2098.00,0.40,3482.00,0.80
COMMISSIONS/REBATES-GROUPS,17182.00,3.80,7252.00,1.50,9930.00,2.30,202.00,0.00,16980.00,3.80
COMPLIMENTARY F & B,3599.00,0.80,1431.00,0.30,2168.00,0.50,443.00,0.10,3156.00,0.70
COMP IN-ROOM/MEDIA ENTERTAINMENT,8085.00,1.80,8000.00,1.70,85.00,0.10,7987.00,1.60,98.00,0.10
CONTRACT SERVICES,0.00,0.00,600.00,0.10,-600.00,-0.10,0.00,0.00,0.00,0.00
COMPLIMENTARY SERVICES & GIFTS,82.00,0.00,105.00,0.00,-23.00,0.00,177.00,0.00,-94.00,0.00
GUEST SUPPLIES,5120.00,1.10,8397.00,1.80,-3277.00,-0.60,1832.00,0.40,3288.00,0.80
LAUNDRY ALLOCATION,8328.00,1.80,9896.00,2.10,-1569.00,-0.20,6400.00,1.30,1928.00,0.50
LINEN,3164.00,0.70,3125.00,0.70,38.00,0.00,0.00,0.00,3164.00,0.70
MISCELLANEOUS,0.00,0.00,250.00,0.10,-250.00,-0.10,23.00,0.00,-23.00,0.00
OPERATING SUPPLIES,2571.00,0.60,873.00,0.20,1698.00,0.40,1096.00,0.20,1475.00,0.30
PRINTING & STATIONERY,0.00,0.00,1254.00,0.30,-1254.00,-0.30,0.00,0.00,0.00,0.00
RESERVATIONS EXPENSE,1371.00,0.30,1217.00,0.30,154.00,0.00,596.00,0.10,775.00,0.20
UNIFORMS,325.00,0.10,0.00,0.00,324.00,0.10,0.00,0.00,324.00,0.10
TOTAL ROOMS OTHER EXPENSES,59411.00,13.20,51430.00,10.80,7981.00,2.40,21335.00,4.40,38076.00,8.80
TOTAL ROOMS EXPENSE,202829.00,45.00,216941.00,45.50,-14112.00,-0.50,180101.00,37.20,22728.00,7.80
TOTAL ROOMS PROFIT,247902.00,55.00,259578.00,54.50,-11676.00,0.50,304608.00,62.80,-56706.00,-7.80
VENUE 1 FOOD,24568.00,4.60,48060.00,9.40,-23492.00,-4.80,32892.00,5.50,-8325.00,-0.90
VENUE 2 FOOD,59356.00,11.20,58221.00,11.40,1135.00,-0.20,43418.00,7.30,15938.00,3.90
VENUE 3 FOOD,24962.00,4.70,24170.00,4.70,792.00,0.00,15651.00,2.60,9312.00,2.10
VENUE 6 FOOD,2924.00,0.60,2288.00,0.40,636.00,0.10,1933.00,0.30,991.00,0.20
VENUE 7 FOOD,13511.00,2.50,9610.00,1.90,3901.00,0.70,1132.00,0.20,12379.00,2.40
VENUE 8 FOOD,4406.00,0.80,0.00,0.00,4406.00,0.80,0.00,0.00,4406.00,0.80
BANQUET & CATERING FOOD,149934.00,28.20,149810.00,29.40,124.00,-1.10,158749.00,26.70,-8815.00,1.50
TOTAL F&B FOOD REVENUE,279661.00,52.60,292160.00,57.30,-12499.00,-4.60,253775.00,42.70,25885.00,9.90
VENUE 1 BEVERAGE,19969.00,3.80,23513.00,4.60,-3544.00,-0.90,29946.00,5.00,-9978.00,-1.30
VENUE 2 BEVERAGE,50407.00,9.50,30930.00,6.10,19477.00,3.40,30507.00,5.10,19900.00,4.30
VENUE 3 BEVERAGE,1828.00,0.30,2274.00,0.40,-446.00,-0.10,966.00,0.20,862.00,0.20
VENUE 6 BEVERAGE,8209.00,1.50,4504.00,0.90,3705.00,0.70,3496.00,0.60,4713.00,1.00
VENUE 7 BEVERAGE,26302.00,4.90,24510.00,4.80,1792.00,0.10,22281.00,3.80,4021.00,1.20
VENUE 8 BEVERAGE,504.00,0.10,0.00,0.00,504.00,0.10,0.00,0.00,504.00,0.10
BANQUET & CATERING BEVERAGE,44984.00,8.50,27543.00,5.40,17441.00,3.10,63701.00,10.70,-18717.00,-2.30
TOTAL F&B BEVERAGE REVENUE,152203.00,28.60,113273.00,22.20,38930.00,6.40,150897.00,25.40,1305.00,3.20
TOTAL F&B  REVENUE,431863.00,81.30,405432.00,79.50,26431.00,1.80,404672.00,68.10,27191.00,13.10
MEETING RENTAL AND SETUP CHARGES,3621.00,0.70,20962.00,4.10,-17342.00,-3.40,79561.00,13.40,-75940.00,-12.70
AV RENTAL,28949.00,5.40,21442.00,4.20,7506.00,1.20,33832.00,5.70,-4883.00,-0.20
BANQUET OTHER,5110.00,1.00,4359.00,0.90,751.00,0.10,6715.00,1.10,-1605.00,-0.20
SERVICE CHARGES,58925.00,11.10,53188.00,10.40,5737.00,0.70,66232.00,11.10,-7307.00,-0.10
OTHER,3919.00,0.70,4872.00,1.00,-952.00,-0.20,3340.00,0.60,579.00,0.20
ALLOWANCES & DISCOUNTS,-919.00,-0.20,0.00,0.00,-919.00,-0.20,-249.00,0.00,-670.00,-0.10
TOTAL F&B OTHER REVENUE,99605.00,18.70,104823.00,20.50,-5218.00,-1.80,189431.00,31.90,-89826.00,-13.10
TOTAL F&B DEPARTMENT REVENUE,531469.00,41.70,510255.00,41.60,21213.00,0.10,594104.00,46.10,-62635.00,-4.40
FOOD COS,79856.00,28.60,77629.00,26.60,2227.00,2.00,82176.00,32.40,-2320.00,-3.80
LIQUOR COST,14626.00,9.60,10881.00,9.60,3745.00,0.00,14810.00,9.80,-184.00,-0.20
BEER COST,7391.00,4.90,5704.00,5.00,1687.00,-0.20,7695.00,5.10,-305.00,-0.20
WINE COST,7185.00,4.70,2557.00,2.30,4628.00,2.50,3713.00,2.50,3472.00,2.30
TOTAL BEVERAGE COS,29201.00,19.20,19142.00,16.90,10060.00,2.30,26219.00,17.40,2983.00,1.80
AV RENTAL COS,17968.00,3.40,13028.00,2.60,4940.00,0.80,21435.00,3.60,-3466.00,-0.20
OTHER REVENUE COS,8241.00,8.30,1622.00,1.50,6619.00,6.70,2689.00,1.40,5552.00,6.90
TOTAL F&B COST OF SALES,135267.00,25.50,111421.00,21.80,23846.00,3.60,132519.00,22.30,2749.00,3.10
TOTAL F&B GROSS PROFIT,396201.00,74.50,398834.00,78.20,-2633.00,-3.60,461585.00,77.70,-65384.00,-3.10
SOUS CHEF,0.00,0.00,14123.00,2.80,-14123.00,-2.80,6221.00,1.00,-6221.00,-1.00
EXECUTIVE CHEF,7582.00,1.40,7535.00,1.50,47.00,-0.10,0.00,0.00,7582.00,1.40
EXECUTIVE SOUS CHEF,6585.00,1.20,6553.00,1.30,32.00,0.00,0.00,0.00,6585.00,1.20
