",Business day,Total Revenue"
",2022-07-22,""6,531.15"""
",2022-07-23,""7,335.69"""
",2022-07-24,""4,978.72"""
",2022-07-25,""5,641.97"""
",2022-07-26,""4,752.34"""
",2022-07-27,""4,080.00"""
",2022-07-28,""4,389.07"""
",2022-07-29,""5,824.88"""
",2022-07-30,""6,143.46"""
",2022-07-31,""4,908.90"""
",2022-08-01,""3,873.41"""
",2022-08-02,""3,914.83"""
",2022-08-03,""3,849.98"""
",2022-08-04,""3,509.51"""
",2022-08-05,""4,735.69"""
",2022-08-06,""5,392.18"""
",2022-08-07,""5,637.49"""
",2022-08-08,""3,927.33"""
",2022-08-09,""2,848.08"""
",2022-08-10,""2,646.34"""
",2022-08-11,""2,607.59"""
",2022-08-12,""4,733.43"""
",2022-08-13,""6,867.02"""
",2022-08-14,""4,778.05"""
",2022-08-15,""2,832.18"""
",2022-08-16,""3,189.19"""
",2022-08-17,""2,563.49"""
",2022-08-18,""2,457.89"""
",2022-08-19,""3,406.36"""
",2022-08-20,""4,807.06"""
",2022-08-21,""3,593.42"""
",2022-08-22,""2,191.20"""
",2022-08-23,""2,787.13"""
",2022-08-24,""1,693.55"""
",2022-08-25,""1,484.75"""
",2022-08-26,""3,248.34"""
",2022-08-27,""5,071.96"""
",2022-08-28,""3,509.14"""
",2022-08-29,""2,033.10"""
",2022-08-30,768.25"
",2022-08-31,""1,271.15"""
",2022-09-01,""1,110.60"""
",2022-09-02,""2,705.00"""
",2022-09-03,""5,223.00"""
",2022-09-04,""6,862.60"""
",2022-09-05,""2,898.85"""
",2022-09-06,""1,160.35"""
",2022-09-07,749.90"
",2022-09-08,""1,416.44"""
",2022-09-09,""2,146.69"""
",2022-09-10,""5,538.08"""
",2022-09-11,""2,952.74"""
",2022-09-12,""1,150.64"""
",2022-09-13,""1,357.90"""
",2022-09-14,""1,553.88"""
",2022-09-15,""1,336.69"""
",2022-09-16,""4,876.02"""
",2022-09-17,""5,198.89"""
",2022-09-18,""3,668.04"""
",2022-09-19,""1,621.94"""
",2022-09-20,""2,132.20"""
",2022-09-21,""1,054.48"""
",2022-09-22,""1,370.14"""
",2022-09-23,""4,213.78"""
",2022-09-24,""6,377.04"""
",2022-09-25,""3,652.01"""
",2022-09-26,""1,447.63"""
",2022-09-27,""1,080.94"""
",2022-09-28,""1,555.95"""
",2022-09-29,""1,428.33"""
",2022-09-30,""3,055.10"""
",2022-10-01,""6,161.57"""
",2022-10-02,""2,346.40"""
",2022-10-03,""1,245.90"""
",2022-10-04,""1,450.50"""
",2022-10-05,""1,678.92"""
",2022-10-06,""1,752.17"""
",2022-10-07,""2,646.66"""
",2022-10-08,""4,225.29"""
",2022-10-09,""3,697.85"""
",2022-10-10,""3,124.80"""
",2022-10-11,""1,891.75"""
",2022-10-12,""1,710.95"""
",2022-10-13,""1,921.17"""
",2022-10-14,""2,792.97"""
",2022-10-15,""4,526.12"""
",2022-10-16,""3,064.29"""
",2022-10-17,""1,103.12"""
",2022-10-18,708.65"
",2022-10-19,""1,086.50"""
",2022-10-20,""2,042.15"""
",2022-10-21,""3,046.34"""
",2022-10-22,""3,826.56"""
",2022-10-23,""2,493.45"""
",2022-10-24,""1,248.39"""
",2022-10-25,802.05"
",2022-10-26,""1,049.60"""
",2022-10-27,""1,454.05"""
",2022-10-28,""2,335.95"""
",2022-10-29,""3,431.15"""
",2022-10-30,""2,318.10"""
",2022-10-31,949.89"
",2022-11-01,933.16"
",2022-11-02,""2,200.58"""
",2022-11-03,""1,953.79"""
",2022-11-04,""2,435.59"""
",2022-11-05,""4,110.32"""
",2022-11-06,""4,577.15"""
",2022-11-07,877.95"
",2022-11-08,""1,089.69"""
",2022-11-09,""1,124.25"""
",2022-11-10,955.35"
",2022-11-11,""2,343.17"""
",2022-11-12,""3,886.61"""
",2022-11-13,""3,473.40"""
",2022-11-14,""3,101.60"""
",2022-11-15,""1,001.89"""
",2022-11-16,""1,275.65"""
",2022-11-17,""1,994.34"""
",2022-11-18,""2,719.95"""
",2022-11-19,""3,878.39"""
",2022-11-20,""2,581.55"""
",2022-11-21,""1,589.35"""
",2022-11-22,""1,979.85"""
",2022-11-23,""1,810.70"""
",2022-11-24,""2,825.49"""
",2022-11-25,""5,233.08"""
",2022-11-26,""5,468.97"""
",2022-11-27,""1,807.30"""
",2022-11-28,835.30"
",2022-11-29,899.05"
",2022-11-30,507.75"
",2022-12-01,787.35"
",2022-12-02,""1,848.39"""
",2022-12-03,""3,739.72"""
",2022-12-04,""1,974.04"""
",2022-12-05,""1,047.45"""
",2022-12-06,969.60"
",2022-12-07,""1,667.50"""
",2022-12-08,""1,161.10"""
",2022-12-09,""2,019.15"""
",2022-12-10,""3,538.59"""
",2022-12-11,""1,440.69"""
",2022-12-12,739.45"
",2022-12-13,""1,265.90"""
",2022-12-14,774.80"
",2022-12-15,""1,155.20"""
",2022-12-16,""2,522.73"""
",2022-12-17,""3,255.68"""
",2022-12-18,""1,766.80"""
",2022-12-19,825.75"
",2022-12-20,655.65"
",2022-12-21,815.90"
",2022-12-22,""1,538.75"""
",2022-12-23,968.45"
",2022-12-24,678.85"
",2022-12-25,449.50"
",2022-12-26,""1,399.30"""
",2022-12-27,""1,435.85"""
",2022-12-28,""1,466.60"""
",2022-12-29,""1,804.50"""
",2022-12-30,""2,381.60"""
",2022-12-31,""4,589.95"""
",2023-01-01,""2,259.75"""
",2023-01-05,732.95"
",2023-01-06,""1,433.99"""
",2023-01-07,""2,894.09"""
",2023-01-08,""1,547.05"""
",2023-01-09,824.95"
",2023-01-10,""2,351.90"""
",2023-01-11,828.80"
",2023-01-12,943.95"
",2023-01-13,""1,490.60"""
",2023-01-14,""2,627.29"""
",2023-01-15,""2,235.24"""
",2023-01-16,""1,577.24"""
",2023-01-17,""1,367.94"""
",2023-01-18,""1,000.10"""
",2023-01-19,463.60"
",2023-01-20,""1,207.90"""
",2023-01-21,""2,010.75"""
",2023-01-22,""1,266.00"""
",2023-01-23,533.90"
",2023-01-24,619.55"
",2023-01-25,712.80"
",2023-01-26,937.75"
",2023-01-27,""1,771.34"""
",2023-01-28,""2,851.25"""
",2023-01-29,816.80"
",2023-01-30,509.09"
",2023-01-31,452.55"
",2023-02-01,457.30"
",2023-02-02,""1,587.80"""
",2023-02-03,""2,962.65"""
",2023-02-04,""4,213.75"""
",2023-02-05,""3,375.38"""
",2023-02-06,969.60"
",2023-02-07,""1,216.95"""
",2023-02-08,668.99"
",2023-02-09,750.44"
",2023-02-10,""1,655.80"""
",2023-02-11,""2,120.39"""
",2023-02-12,""1,078.90"""
",2023-02-13,642.58"
",2023-02-14,""1,043.65"""
",2023-02-15,""1,143.25"""
",2023-02-16,792.14"
",2023-02-17,""1,573.54"""
",2023-02-18,""3,029.13"""
",2023-02-19,""2,904.95"""
",2023-02-20,""2,164.50"""
",2023-02-21,""1,389.75"""
",2023-02-22,""2,084.43"""
",2023-02-23,""3,128.44"""
",2023-02-24,""4,641.15"""
",2023-02-25,""6,315.49"""
",2023-02-26,""2,613.81"""
